HDR,ROLLING SYSTEM DEMAND
VD,20200222130500,29896
VD,20200222131000,30024
VD,20200222131500,30144
VD,20200222132000,30118
VD,20200222132500,29991
VD,20200222133000,29972
VD,20200222133500,30190
VD,20200222134000,30127
VD,20200222134500,30059
VD,20200222135000,30105
VD,20200222135500,30117
VD,20200222140000,30142
VD,20200222140500,30217
VD,20200222141000,30247
VD,20200222141500,30063
VD,20200222142000,30028
VD,20200222142500,30087
VD,20200222143000,30310
VD,20200222143500,30420
VD,20200222144000,30435
VD,20200222144500,30470
VD,20200222145000,30586
VD,20200222145500,30634
VD,20200222150000,30579
VD,20200222150500,30689
VD,20200222151000,30804
VD,20200222151500,30802
VD,20200222152000,30853
VD,20200222152500,30912
VD,20200222153000,30982
VD,20200222153500,31141
VD,20200222154000,31257
VD,20200222154500,31288
VD,20200222155000,31347
VD,20200222155500,31506
VD,20200222160000,31678
VD,20200222160500,31845
VD,20200222161000,31997
VD,20200222161500,32158
VD,20200222162000,32255
VD,20200222162500,32351
VD,20200222163000,32576
VD,20200222163500,32913
VD,20200222164000,33173
VD,20200222164500,33389
VD,20200222165000,33534
VD,20200222165500,33663
VD,20200222170000,33761
VD,20200222170500,34104
VD,20200222171000,34305
VD,20200222171500,34564
VD,20200222172000,34886
VD,20200222172500,35259
VD,20200222173000,35427
VD,20200222173500,35733
VD,20200222174000,36132
VD,20200222174500,36458
VD,20200222175000,36662
VD,20200222175500,36779
VD,20200222180000,36736
VD,20200222180500,36687
VD,20200222181000,36537
VD,20200222181500,36573
VD,20200222182000,36467
VD,20200222182500,36392
VD,20200222183000,36184
VD,20200222183500,36044
VD,20200222184000,35952
VD,20200222184500,35899
VD,20200222185000,35883
VD,20200222185500,35853
VD,20200222190000,35752
VD,20200222190500,35591
VD,20200222191000,35609
VD,20200222191500,35410
VD,20200222192000,35027
VD,20200222192500,34887
VD,20200222193000,34816
VD,20200222193500,34565
VD,20200222194000,34374
VD,20200222194500,34108
VD,20200222195000,33970
VD,20200222195500,33874
VD,20200222200000,33706
VD,20200222200500,33464
VD,20200222201000,33346
VD,20200222201500,33431
VD,20200222202000,33237
VD,20200222202500,33117
VD,20200222203000,33079
VD,20200222203500,32551
VD,20200222204000,32280
VD,20200222204500,32094
VD,20200222205000,31758
VD,20200222205500,31543
VD,20200222210000,31294
VD,20200222210500,30916
VD,20200222211000,30714
VD,20200222211500,30502
VD,20200222212000,30362
VD,20200222212500,30215
VD,20200222213000,29944
VD,20200222213500,29787
VD,20200222214000,29621
VD,20200222214500,29440
VD,20200222215000,29157
VD,20200222215500,28920
VD,20200222220000,28708
VD,20200222220500,28478
VD,20200222221000,28236
VD,20200222221500,28016
VD,20200222222000,27793
VD,20200222222500,27663
VD,20200222223000,27493
VD,20200222223500,27405
VD,20200222224000,27289
VD,20200222224500,27137
VD,20200222225000,26976
VD,20200222225500,26826
VD,20200222230000,26506
VD,20200222230500,25942
VD,20200222231000,25787
VD,20200222231500,25564
VD,20200222232000,25428
VD,20200222232500,25296
VD,20200222233000,25187
VD,20200222233500,25197
VD,20200222234000,25134
VD,20200222234500,25036
VD,20200222235000,24899
VD,20200222235500,24795
VD,20200223000000,24761
VD,20200223000500,24998
VD,20200223001000,24978
VD,20200223001500,24928
VD,20200223002000,24887
VD,20200223002500,24897
VD,20200223003000,24838
VD,20200223003500,25076
VD,20200223004000,25260
VD,20200223004500,25299
VD,20200223005000,25371
VD,20200223005500,25176
VD,20200223010000,25120
VD,20200223010500,25411
VD,20200223011000,25526
VD,20200223011500,25542
VD,20200223012000,25535
VD,20200223012500,25634
VD,20200223013000,25774
VD,20200223013500,25885
VD,20200223014000,25907
VD,20200223014500,25767
VD,20200223015000,25685
VD,20200223015500,25613
VD,20200223020000,25403
VD,20200223020500,25330
VD,20200223021000,25288
VD,20200223021500,25206
VD,20200223022000,25160
VD,20200223022500,25094
VD,20200223023000,25073
VD,20200223023500,25043
VD,20200223024000,24783
VD,20200223024500,24615
VD,20200223025000,24520
VD,20200223025500,24393
VD,20200223030000,24287
VD,20200223030500,24048
VD,20200223031000,23991
VD,20200223031500,23898
VD,20200223032000,23856
VD,20200223032500,23848
VD,20200223033000,23823
VD,20200223033500,23762
VD,20200223034000,23663
VD,20200223034500,23552
VD,20200223035000,23446
VD,20200223035500,23428
VD,20200223040000,23354
VD,20200223040500,23179
VD,20200223041000,23037
VD,20200223041500,22914
VD,20200223042000,22866
VD,20200223042500,22843
VD,20200223043000,22765
VD,20200223043500,22729
VD,20200223044000,22752
VD,20200223044500,22798
VD,20200223045000,22861
VD,20200223045500,22872
VD,20200223050000,22841
VD,20200223050500,22715
VD,20200223051000,22718
VD,20200223051500,22703
VD,20200223052000,22642
VD,20200223052500,22714
VD,20200223053000,22744
VD,20200223053500,22743
VD,20200223054000,22654
VD,20200223054500,22630
VD,20200223055000,22755
VD,20200223055500,22908
VD,20200223060000,23016
VD,20200223060500,23280
VD,20200223061000,23416
